@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute feature_8 numeric
@Attribute feature_9 numeric
@Attribute class {FILE-TRANSFER_gate_SFTP_filetransfer.pcap,CHAT_facebookchatgateway.pcap,MAIL_gate_Email_IMAP_filetransfer.pcap,VIDEO_Youtube_Flash_Gateway.pcap}
@data
3325347879,167772687,443,36922,2,597,597,0.11966700000000002,1e-05,0.11962800000000001,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,54,54,0.123977,1e-05,0.11959399999999998,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,597,597,0.429771,1e-05,0.42953,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,60,60,0.429758,1e-05,0.429562,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,1111,597,0.0005070000000000352,1e-05,0.00032599999999999296,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,60,60,0.11466399999999993,1e-05,0.0003070000000000017,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,597,597,0.10300500000000001,1e-05,0.10297200000000006,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,54,54,0.06692699999999996,1e-05,0.06549299999999991,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,597,597,0.4258660000000001,1e-05,0.42562199999999994,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,60,60,0.737616,1e-05,0.42563700000000004,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,597,597,0.365351,1e-05,0.32609100000000013,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,54,54,0.17515800000000015,1e-05,0.10831199999999996,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,597,597,0.06691999999999987,1e-05,0.06687799999999999,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,54,54,3.0676780000000003,1e-05,3.065959,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,597,597,0.32926900000000003,1e-05,0.3289850000000003,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,60,60,0.6486779999999994,1e-05,0.32908199999999965,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,597,597,0.3233269999999999,1e-05,0.32166099999999975,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,597,597,0.30748200000000026,1e-05,0.30724700000000027,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,60,60,0.649553,1e-05,0.3071950000000001,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,597,597,0.3469660000000001,1e-05,0.34539600000000004,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,597,597,0.32129399999999997,1e-05,0.32103199999999976,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,60,60,0.6325139999999996,1e-05,0.32111599999999996,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,597,597,0.3151200000000003,1e-05,0.31352400000000014,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,597,165,0.19080399999999997,1e-05,0.19054099999999963,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,60,60,0.3070139999999997,1e-05,0.190658,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,597,597,0.08384800000000059,1e-05,0.07946900000000046,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,2,597,597,0.0824429999999996,1e-05,0.08220600000000022,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,60,60,0.28581199999999995,1e-05,0.08223299999999956,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,2,597,597,0.07205200000000023,1e-05,0.06859600000000032,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
