@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute class {FILE-TRANSFER_gate_SFTP_filetransfer.pcap,CHAT_facebookchatgateway.pcap,MAIL_gate_Email_IMAP_filetransfer.pcap,VIDEO_Youtube_Flash_Gateway.pcap}
@data
167772687,3325347879,36922,443,5,699.8,0.649499,0.1623175,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,1.060815,0.1623225,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,0.769412,0.188886,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,54.0,1.2291020000000001,0.2802055,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,3.603684,0.9005045,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,597.0,4.223389,1.0557885,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,4.565503,1.0557862500000001,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,1.2900559999999999,0.3221034999999999,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,510.6,0.9432999999999998,0.23577249999999994,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,1.0207389999999998,0.23578049999999995,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,346.0,5.724019,1.40391375,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,0.5956169999999998,0.148895,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,597.0,0.9126979999999998,0.2281137499999999,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,1.2179870000000008,0.2281152500000001,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,1.2981690000000006,0.3241097500000001,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,597.0,1.578728,0.3946229999999997,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,1.6432879999999992,0.39462050000000004,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,35.185216000000004,8.79628925,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,54.0,37.269338,9.278503250000002,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,699.8,34.997265000000006,8.74927525,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,35.11009,8.749277750000001,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,1.0742819999999966,0.25928850000000025,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,54.0,1.156806000000003,0.28469175000000035,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,597.0,1.4663690000000003,0.36654949999999964,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,1.887476999999997,0.3665217500000004,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,1.3416010000000043,0.3346270000000011,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,597.0,1.632438999999998,0.4080919999999999,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,1.8286879999999996,0.4080692500000005,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,1.2241169999999997,0.30564649999999993,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,510.6,0.9291180000000026,0.23221574999999994,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,0.9950389999999985,0.2322317500000004,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,597.0,0.9803659999999965,0.2450682499999992,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,597.0,1.3411880000000025,0.3352334999999993,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,1.7830559999999949,0.33524575000000034,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,930.0,2.8022860000000023,0.7005077499999999,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,0.006539999999993995,0.0015617499999986961,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,370.6,0.007433000000006018,0.0018210000000014048,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,1514.0,0.0050370000000015125,0.0011899999999993582,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,5,60.0,0.0029690000000002215,0.0006599999999998829,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,662.6,0.002600999999998521,0.0005945000000000533,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,5,1514.0,0.0026759999999939055,0.0006289999999999907,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
