@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute feature_8 numeric
@Attribute feature_9 numeric
@Attribute feature_10 numeric
@Attribute feature_11 numeric
@Attribute feature_12 numeric
@Attribute feature_13 numeric
@Attribute feature_14 numeric
@Attribute feature_15 numeric
@Attribute feature_16 numeric
@Attribute feature_17 numeric
@Attribute feature_18 numeric
@Attribute feature_19 numeric
@Attribute feature_20 numeric
@Attribute feature_21 numeric
@Attribute feature_22 numeric
@Attribute feature_23 numeric
@Attribute feature_24 numeric
@Attribute feature_25 numeric
@Attribute feature_26 numeric
@Attribute feature_27 numeric
@Attribute feature_28 numeric
@Attribute feature_29 numeric
@Attribute feature_30 numeric
@Attribute feature_31 numeric
@Attribute feature_32 numeric
@Attribute feature_33 numeric
@Attribute class {FILE-TRANSFER_gate_SFTP_filetransfer.pcap,CHAT_facebookchatgateway.pcap,MAIL_gate_Email_IMAP_filetransfer.pcap,VIDEO_Youtube_Flash_Gateway.pcap}
@data
3325347879,167772687,443,36922,14,597,597,597,597,597,597,597,597,597,597,597,597,597,597,5.971017,1e-05,0.11962800000000001,0.11972299999999997,0.10297200000000006,0.41322099999999995,0.32609100000000013,0.14754,0.06687799999999999,3.065939,0.32166099999999975,0.3061100000000003,0.34539600000000004,0.3207379999999995,0.31352400000000014,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,14,597,597,1111,597,597,597,597,597,597,597,597,597,597,165,6.467301,1e-05,0.42953,0.0004369999999999652,0.00032599999999999296,0.21897700000000003,0.42562199999999994,3.265376,0.3289850000000003,0.32154599999999967,0.30724700000000027,0.344163,0.32103199999999976,0.313256,0.19054099999999963,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,6.583448,1e-05,0.429562,0.00039600000000000746,0.0003070000000000017,0.21902500000000003,0.42563700000000004,3.2653190000000003,0.32908199999999965,0.3215490000000001,0.3071950000000001,0.344106,0.32111599999999996,0.31313999999999975,0.190658,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,14,597,597,597,597,597,597,597,597,597,597,597,597,597,597,3.147729000000001,1e-05,0.07946900000000046,0.2081949999999999,0.06859600000000032,0.17259199999999986,0.1461969999999999,0.319515,0.30750800000000034,0.3634499999999994,0.3134320000000006,0.312049,0.3128799999999998,0.34341199999999894,0.19596700000000133,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,14,54,54,54,54,54,54,54,54,1514,54,54,54,54,54,43.700596999999995,1e-05,0.11959399999999998,0.15719600000000006,0.06549299999999991,0.778539,0.10831199999999996,0.06688800000000006,3.065959,1.79929,0.6835180000000003,0.10840099999999975,1.9676079999999994,0.3046350000000011,0.5713629999999998,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,14,597,597,597,597,597,597,597,597,597,597,597,597,597,597,37.421059,1e-05,0.08220600000000022,0.20812399999999975,0.06774400000000025,0.31703299999999945,0.3195540000000001,0.30745800000000045,0.3633880000000005,0.31589499999999937,0.30968900000000055,0.5895199999999985,0.0697650000000003,0.19571100000000108,34.274764,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,37.787188,1e-05,0.08223299999999956,0.20813100000000073,0.06784699999999955,0.31692300000000007,0.31956000000000007,0.307461,0.36355300000000046,0.31572199999999917,0.3096930000000011,0.5895139999999994,0.0696829999999995,0.19578500000000076,34.274744,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,14,597,597,597,597,597,597,597,597,597,597,597,597,597,597,37.8073,1e-05,34.308437,0.15538399999999797,0.117837999999999,0.101267,0.4334869999999995,0.3845620000000025,0.10164299999999571,0.06365000000000265,0.4829130000000035,0.42313499999999493,0.3688100000000034,0.4363880000000009,0.42826300000000117,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,14,597,1111,597,597,597,597,597,597,597,597,597,597,165,597,4.068356000000001,1e-05,0.0009790000000009513,0.21604100000000415,0.4417019999999994,0.49443000000000126,0.04660299999999751,0.4834630000000004,0.4229780000000005,0.37048599999999965,0.43494799999999856,0.42813300000000254,0.39880099999999885,0.1967069999999964,0.13293600000000083,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,4.132235999999999,1e-05,0.000816000000000372,0.21615899999999755,0.44160600000000017,0.4943230000000014,0.04659299999999433,0.4835650000000058,0.4229689999999948,0.3704830000000001,0.4350769999999997,0.42813300000000254,0.3985839999999996,0.19682699999999897,0.1328940000000003,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
