3325347879,167772687,443,59960,7,60,60,60,60,60,60,60,1.621494,1e-05,0.00013500000000000003,0.00029399999999999994,0.789616,0.07001200000000007,0.1945499999999999,0.19929700000000006,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,7,1235,205,597,597,597,597,597,1.6216350000000002,1e-05,0.00029500000000000007,0.7894019999999999,0.07008000000000003,0.1944990000000001,0.1993539999999998,0.36778900000000014,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,7,597,597,597,597,597,597,597,1.2147139999999998,1e-05,0.065222,0.08046500000000001,0.19361099999999998,0.20437700000000003,0.43400400000000006,0.23239599999999982,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,7,1514,1514,1514,54,54,54,54,2.916873,1e-05,0.000128,0.00038100000000000005,0.709563,0.06519999999999992,1.8224609999999999,0.31907299999999994,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,7,60,60,60,60,1474,1474,60,1.653744,1e-05,0.07028999999999996,0.23274700000000004,0.29128299999999974,0.700504,0.00010500000000002174,0.07355500000000026,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,7,597,597,841,597,597,597,597,1.5315029999999998,1e-05,0.34646299999999997,0.3584909999999999,0.06579999999999986,0.29295700000000036,0.160968,0.29167999999999994,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,7,597,597,1111,597,597,1111,597,2.052234,1e-05,0.23264099999999988,0.2912920000000001,0.7742489999999997,0.448944,0.3042720000000001,0.0007269999999999222,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,7,54,54,54,54,54,54,54,1.3500199999999998,1e-05,5.100000000002325e-05,0.06585399999999986,0.3308970000000002,0.12301999999999991,0.5769709999999999,0.08881599999999956,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,7,60,60,60,60,60,1474,1474,1.5535149999999995,1e-05,0.30438399999999977,0.00042600000000003746,0.5272089999999996,0.0002980000000007976,0.7210359999999998,0.000128000000000128,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,7,597,597,597,597,841,597,597,1.2791629999999996,1e-05,0.12786899999999957,0.16447400000000023,0.5366439999999999,0.1895150000000001,0.11814999999999998,0.10624400000000023,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,7,54,54,54,54,54,54,54,1.2350249999999994,1e-05,0.5747460000000002,0.151192,0.0001029999999992981,7.599999999996498e-05,0.260637,0.0921460000000005,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,7,597,1111,1111,597,597,597,597,1.2980410000000004,1e-05,0.0004070000000000462,0.7340290000000005,0.0010159999999999059,0.1127180000000001,0.3877859999999993,0.06185300000000016,MAIL_gate_Email_IMAP_filetransfer.pcap
